source_file,line_number,finding_type,context,function_name,target_context,feature_context,future_or_forward,negative_shift,centered_rolling,classification
features\lag_features.py,1000,FUTURE_OR_FORWARD,"""future_data_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\lag_features.py,1009,FUTURE_OR_FORWARD,"""forward_lookup_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\lag_features.py,1227,DIFF,deltas = timestamps.diff(),_count_irregular_intervals,False,False,False,False,False,TEMPORAL_OPERATION
features\lag_features.py,1546,FUTURE_OR_FORWARD,"""future_data_used"":",validate_lag_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\lag_features.py,1555,FUTURE_OR_FORWARD,"""forward_lookup_used"":",validate_lag_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\occupancy_features.py,938,FUTURE_OR_FORWARD,"""future_data_used"": False,",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\occupancy_features.py,967,FUTURE_OR_FORWARD,"""future_data_used"": False,",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\rolling_features.py,904,FUTURE_OR_FORWARD,"""future_data_used"": False,",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\rolling_features.py,919,FUTURE_OR_FORWARD,"""future_data_used"": False,",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\rolling_features.py,1174,FUTURE_OR_FORWARD,# In our forecasting pipeline the current occupancy is,_build_window_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\rolling_features.py,1193,ROLLING,"#     grouped[""__value""].rolling(on=""__timestamp"")",_build_window_features,False,True,False,False,False,TEMPORAL_OPERATION
features\rolling_features.py,1195,ROLLING,# because pandas treats that as SeriesGroupBy.rolling(),_build_window_features,False,True,False,False,False,TEMPORAL_OPERATION
features\rolling_features.py,1200,ROLLING,"#     grouped.rolling(on=""__timestamp"")",_build_window_features,False,True,False,False,False,TEMPORAL_OPERATION
features\rolling_features.py,1203,ROLLING,rolling_object = grouped.rolling(,_build_window_features,False,True,False,False,False,TEMPORAL_OPERATION
features\rolling_features.py,1489,ROLLING,pandas can return a MultiIndex after groupby().rolling().,_restore_grouped_result,False,False,False,False,False,TEMPORAL_OPERATION
features\rolling_features.py,1848,FUTURE_OR_FORWARD,"""future_data_used"": False,",validate_rolling_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\temporal_features.py,584,FUTURE_OR_FORWARD,"""future_data_used"": False,",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\temporal_features.py,601,FUTURE_OR_FORWARD,"""future_data_used"": False,",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
ml_models\baseline_model.py,5,FUTURE_OR_FORWARD,Generic baseline models for SmartPark AI forecasting.,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
ml_models\baseline_model.py,9,FUTURE_OR_FORWARD,"This module provides simple, deterministic forecasting baselines that",,False,False,True,False,False,FUTURE_OPERATION_REVIEW
ml_models\baseline_model.py,670,FUTURE_OR_FORWARD,forecasting.,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
ml_models\baseline_model.py,876,SHIFT,predictions = combined.shift(,predict,False,False,False,False,False,TEMPORAL_OPERATION
