file,line_number,finding_type,matched_text,context
app\ml\data\dataset_audit.py,1095,target_reference,TARGET_2H_AVAILABLE_COLUMN,"target_2h = int(
                facility_df[
                    TARGET_2H_AVAILABLE_COLUMN
                ].sum()
            )"
app\ml\data\dataset_audit.py,1099,target_reference,target_tomorrow = int(,")

            target_tomorrow = int(
                facility_df[
                    TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN"
app\ml\data\dataset_audit.py,1101,target_reference,TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN,"target_tomorrow = int(
                facility_df[
                    TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN
                ].sum()
            )"
app\ml\data\dataset_audit.py,1107,target_reference,TARGET_ELIGIBLE_COLUMN,"eligible = int(
                facility_df[
                    TARGET_ELIGIBLE_COLUMN
                ].sum()
            )"
app\ml\data\dataset_audit.py,1179,target_reference,target_30m_count=(,"observed_ratio
                ),
                target_30m_count=(
                    target_30m
                ),"
app\ml\data\dataset_audit.py,1180,target_reference,target_30m,"),
                target_30m_count=(
                    target_30m
                ),
                target_1h_count=("
app\ml\data\dataset_audit.py,1182,target_reference,target_1h_count=(,"target_30m
                ),
                target_1h_count=(
                    target_1h
                ),"
app\ml\data\dataset_audit.py,1183,target_reference,target_1h,"),
                target_1h_count=(
                    target_1h
                ),
                target_2h_count=("
app\ml\data\dataset_audit.py,1185,target_reference,target_2h_count=(,"target_1h
                ),
                target_2h_count=(
                    target_2h
                ),"
app\ml\data\dataset_audit.py,1186,target_reference,target_2h,"),
                target_2h_count=(
                    target_2h
                ),
                target_tomorrow_morning_count=("
app\ml\data\dataset_audit.py,1188,target_reference,target_tomorrow_morning_count=(,"target_2h
                ),
                target_tomorrow_morning_count=(
                    target_tomorrow
                ),"
app\ml\data\dataset_audit.py,1189,target_reference,target_tomorrow,"),
                target_tomorrow_morning_count=(
                    target_tomorrow
                ),
                target_30m_ratio=("
app\ml\data\dataset_audit.py,1191,target_reference,target_30m_ratio=(,"target_tomorrow
                ),
                target_30m_ratio=(
                    target_30m / total
                    if total"
app\ml\data\dataset_audit.py,1192,target_reference,target_30m / total,"),
                target_30m_ratio=(
                    target_30m / total
                    if total
                    else 0.0"
app\ml\data\dataset_audit.py,1196,target_reference,target_1h_ratio=(,"else 0.0
                ),
                target_1h_ratio=(
                    target_1h / total
                    if total"
app\ml\data\dataset_audit.py,1197,target_reference,target_1h / total,"),
                target_1h_ratio=(
                    target_1h / total
                    if total
                    else 0.0"
app\ml\data\dataset_audit.py,1201,target_reference,target_2h_ratio=(,"else 0.0
                ),
                target_2h_ratio=(
                    target_2h / total
                    if total"
app\ml\data\dataset_audit.py,1202,target_reference,target_2h / total,"),
                target_2h_ratio=(
                    target_2h / total
                    if total
                    else 0.0"
app\ml\data\dataset_audit.py,1206,target_reference,target_tomorrow_morning_ratio=(,"else 0.0
                ),
                target_tomorrow_morning_ratio=(
                    target_tomorrow / total
                    if total"
app\ml\data\dataset_audit.py,1207,target_reference,target_tomorrow / total,"),
                target_tomorrow_morning_ratio=(
                    target_tomorrow / total
                    if total
                    else 0.0"
app\ml\data\dataset_audit.py,1211,target_reference,target_eligible_count=(,"else 0.0
                ),
                target_eligible_count=(
                    eligible
                ),"
app\ml\data\dataset_audit.py,1290,target_reference,# Low target coverage,"# ------------------------------------------------
            # Low target coverage
            # ------------------------------------------------"
app\ml\data\dataset_audit.py,1293,target_reference,target_checks = [,"# ------------------------------------------------

            target_checks = [
                (
                    ""30M"","
app\ml\data\dataset_audit.py,1296,target_reference,"target_30m,","(
                    ""30M"",
                    target_30m,
                    self._config
                    .minimum_facility_target_30m,"
app\ml\data\dataset_audit.py,1302,target_reference,"target_1h,","(
                    ""1H"",
                    target_1h,
                    self._config
                    .minimum_facility_target_1h,"
app\ml\data\dataset_audit.py,1308,target_reference,"target_2h,","(
                    ""2H"",
                    target_2h,
                    self._config
                    .minimum_facility_target_2h,"
app\ml\data\dataset_audit.py,1314,target_reference,"target_tomorrow,","(
                    ""TOMORROW_MORNING"",
                    target_tomorrow,
                    self._config
                    .minimum_facility_tomorrow_targets,"
app\ml\data\dataset_audit.py,1324,target_reference,) in target_checks:,"count,
                minimum,
            ) in target_checks:

                if ("
app\ml\data\dataset_audit.py,1341,target_reference,"f""{horizon} targets.""","f""Facility '{facility_code}' ""
                                f""has only {count} usable ""
                                f""{horizon} targets.""
                            ),
                            count=count,"
app\ml\data\dataset_audit.py,1359,target_reference,# Target audit,"# ========================================================
    # Target audit
    # ========================================================"
app\ml\data\dataset_audit.py,1366,target_reference,) -> list[TargetAudit]:,"dataframe: pd.DataFrame,
        findings: list[AuditFinding],
    ) -> list[TargetAudit]:

        definitions = ["
app\ml\data\dataset_audit.py,1371,target_reference,"TARGET_30M_COLUMN,","(
                ""30m"",
                TARGET_30M_COLUMN,
                TARGET_30M_AVAILABLE_COLUMN,
            ),"
app\ml\data\dataset_audit.py,1372,target_reference,"TARGET_30M_AVAILABLE_COLUMN,","""30m"",
                TARGET_30M_COLUMN,
                TARGET_30M_AVAILABLE_COLUMN,
            ),
            ("
app\ml\data\dataset_audit.py,1376,target_reference,"TARGET_1H_COLUMN,","(
                ""1h"",
                TARGET_1H_COLUMN,
                TARGET_1H_AVAILABLE_COLUMN,
            ),"
app\ml\data\dataset_audit.py,1377,target_reference,"TARGET_1H_AVAILABLE_COLUMN,","""1h"",
                TARGET_1H_COLUMN,
                TARGET_1H_AVAILABLE_COLUMN,
            ),
            ("
app\ml\data\dataset_audit.py,1381,target_reference,"TARGET_2H_COLUMN,","(
                ""2h"",
                TARGET_2H_COLUMN,
                TARGET_2H_AVAILABLE_COLUMN,
            ),"
app\ml\data\dataset_audit.py,1382,target_reference,"TARGET_2H_AVAILABLE_COLUMN,","""2h"",
                TARGET_2H_COLUMN,
                TARGET_2H_AVAILABLE_COLUMN,
            ),
            ("
app\ml\data\dataset_audit.py,1386,target_reference,"TARGET_TOMORROW_MORNING_COLUMN,","(
                ""tomorrow_morning"",
                TARGET_TOMORROW_MORNING_COLUMN,
                TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN,
            ),"
app\ml\data\dataset_audit.py,1387,target_reference,"TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN,","""tomorrow_morning"",
                TARGET_TOMORROW_MORNING_COLUMN,
                TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN,
            ),
        ]"
app\ml\data\dataset_audit.py,1392,target_reference,TargetAudit,"audits: list[
            TargetAudit
        ] = []"
app\ml\data\dataset_audit.py,1401,target_reference,"target_column,","for (
            horizon,
            target_column,
            availability_column,
        ) in definitions:"
app\ml\data\dataset_audit.py,1413,target_reference,target_values = pd.to_numeric(,")

            target_values = pd.to_numeric(
                dataframe.loc[
                    available,"
app\ml\data\dataset_audit.py,1416,target_reference,"target_column,","dataframe.loc[
                    available,
                    target_column,
                ],
                errors=""coerce"","
app\ml\data\dataset_audit.py,1436,target_reference,if target_values.empty:,")

            if target_values.empty:

                minimum = None"
app\ml\data\dataset_audit.py,1451,target_reference,target_values.min(),"minimum = float(
                    target_values.min()
                )"
app\ml\data\dataset_audit.py,1455,target_reference,target_values.max(),"maximum = float(
                    target_values.max()
                )"
app\ml\data\dataset_audit.py,1459,target_reference,target_values.mean(),"mean = float(
                    target_values.mean()
                )"
app\ml\data\dataset_audit.py,1463,target_reference,target_values.median(),"median = float(
                    target_values.median()
                )"
app\ml\data\dataset_audit.py,1467,target_reference,target_values.std(,"std = float(
                    target_values.std(
                        ddof=1
                    )"
app\ml\data\dataset_audit.py,1471,target_reference,target_values,")
                ) if len(
                    target_values
                ) > 1 else 0.0"
app\ml\data\dataset_audit.py,1475,target_reference,target_values.quantile(,"p05 = float(
                    target_values.quantile(
                        0.05
                    )"
app\ml\data\dataset_audit.py,1481,target_reference,target_values.quantile(,"p25 = float(
                    target_values.quantile(
                        0.25
                    )"
app\ml\data\dataset_audit.py,1487,target_reference,target_values.quantile(,"p75 = float(
                    target_values.quantile(
                        0.75
                    )"
app\ml\data\dataset_audit.py,1493,target_reference,target_values.quantile(,"p95 = float(
                    target_values.quantile(
                        0.95
                    )"
app\ml\data\dataset_audit.py,1498,target_reference,audit = TargetAudit(,")

            audit = TargetAudit(
                horizon=horizon,
                target_column=target_column,"
app\ml\data\dataset_audit.py,1500,target_reference,"target_column=target_column,","audit = TargetAudit(
                horizon=horizon,
                target_column=target_column,
                availability_column=(
                    availability_column"
app\ml\data\dataset_audit.py,1551,target_reference,"f""{horizon} target coverage ""","),
                        message=(
                            f""{horizon} target coverage ""
                            f""is {ratio:.2%}, below the ""
                            f""configured threshold of """
app\ml\data\dataset_audit.py,1623,target_reference,target_30m_rows=int(,"else 0.0
                    ),
                    target_30m_rows=int(
                        subset[
                            TARGET_30M_AVAILABLE_COLUMN"
app\ml\data\dataset_audit.py,1625,target_reference,TARGET_30M_AVAILABLE_COLUMN,"target_30m_rows=int(
                        subset[
                            TARGET_30M_AVAILABLE_COLUMN
                        ].sum()
                    ),"
app\ml\data\dataset_audit.py,1628,target_reference,target_1h_rows=int(,"].sum()
                    ),
                    target_1h_rows=int(
                        subset[
                            TARGET_1H_AVAILABLE_COLUMN"
app\ml\data\dataset_audit.py,1630,target_reference,TARGET_1H_AVAILABLE_COLUMN,"target_1h_rows=int(
                        subset[
                            TARGET_1H_AVAILABLE_COLUMN
                        ].sum()
                    ),"
app\ml\data\dataset_audit.py,1633,target_reference,target_2h_rows=int(,"].sum()
                    ),
                    target_2h_rows=int(
                        subset[
                            TARGET_2H_AVAILABLE_COLUMN"
app\ml\data\dataset_audit.py,1635,target_reference,TARGET_2H_AVAILABLE_COLUMN,"target_2h_rows=int(
                        subset[
                            TARGET_2H_AVAILABLE_COLUMN
                        ].sum()
                    ),"
app\ml\data\dataset_audit.py,1638,target_reference,target_tomorrow_rows=int(,"].sum()
                    ),
                    target_tomorrow_rows=int(
                        subset[
                            TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN"
app\ml\data\dataset_audit.py,1640,target_reference,TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN,"target_tomorrow_rows=int(
                        subset[
                            TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN
                        ].sum()
                    ),"
app\ml\data\dataset_audit.py,1702,target_reference,target_30m_rows=int(,"else 0.0
                    ),
                    target_30m_rows=int(
                        subset[
                            TARGET_30M_AVAILABLE_COLUMN"
