rank,feature,importance,importance_pct,cumulative_importance_pct,categorical
128,occupied_spaces_roll_trend_1d,0.003373319748789072,0.0012260138035743585,99.95657605730915,False
129,day_of_year,0.003333084285259247,0.0012113904540687309,99.95778744776322,False
130,calendar_day_of_week_cos,0.003249675501137972,0.0011810760076813864,99.9589685237709,False
131,occupancy_rate_roll_median_12h,0.003220338374376297,0.0011704135964528228,99.96013893736736,False
132,occupancy_rate_roll_mean_3h,0.003149268217384815,0.0011445835536515046,99.96128352092101,False
133,occupied_spaces_roll_min_1d,0.003149149240925908,0.0011445403123367809,99.96242806123335,False
134,available_spaces_roll_max_2h,0.0031071873381733894,0.0011292894983523372,99.9635573507317,False
135,occupied_spaces_roll_min_6h,0.003024648642167449,0.0010992912805229613,99.96465664201223,False
136,available_spaces_lag_3h,0.003003113204613328,0.0010914643486950953,99.96574810636092,False
137,occupied_spaces_roll_std_2h,0.0029348586685955524,0.001066657627261589,99.96681476398818,False
138,available_spaces_roll_std_1h,0.0029002625960856676,0.0010540838822254701,99.9678688478704,False
139,occupied_spaces_roll_std_1d,0.0028739499393850565,0.0010445206973731468,99.96891336856778,False
140,occupied_spaces_roll_std_3h,0.0028604750987142324,0.001039623343462559,99.96995299191124,False
141,available_spaces_roll_mean_3h,0.0028395343106240034,0.0010320125335873426,99.97098500444483,False
142,occupied_spaces_roll_std_6h,0.0028190903831273317,0.0010245823048581537,99.97200958674969,False
143,occupancy_rate_roll_median_3h,0.0027491061482578516,0.0009991469342522771,99.97300873368394,False
144,occupied_spaces_lag_1h,0.0027347172144800425,0.0009939173584207408,99.97400265104235,False
145,occupancy_rate_roll_std_2h,0.0027050760108977556,0.0009831444322077761,99.97498579547457,False
146,occupancy_rate_roll_max_12h,0.002622203901410103,0.0009530250371520124,99.97593882051171,False
147,available_spaces_roll_min_2h,0.0026188641786575317,0.0009518112339848997,99.9768906317457,False
148,occupancy_rate_roll_mean_2h,0.0026090703904628754,0.0009482517375807291,99.97783888348329,False
149,occupancy_rate_roll_missing_1d,0.0025469970423728228,0.0009256915336096117,99.9787645750169,False
150,days_to_month_end,0.002544696908444166,0.000924855563065279,99.97968943057997,False
151,calendar_day_of_month,0.0025035992730408907,0.0009099188621146001,99.98059934944209,False
152,occupied_spaces_lag_1d,0.002492288826033473,0.0009058081447239146,99.98150515758681,False
153,occupied_spaces_roll_median_6h,0.0024688795674592257,0.0008973001833443949,99.98240245777015,False
154,occupied_spaces_roll_mean_2h,0.0024375985376536846,0.0008859312716527648,99.9832883890418,False
155,occupancy_rate_roll_min_3h,0.0023574356455355883,0.0008567965261823694,99.98414518556798,False
156,calendar_week_of_quarter,0.0023178327828645706,0.0008424030918471994,99.98498758865983,False
157,available_spaces_roll_std_1d,0.00231178873218596,0.0008402064161350496,99.98582779507596,False
158,available_spaces_roll_trend_1d,0.0023035595659166574,0.0008372155726368326,99.9866650106486,False
159,available_spaces_roll_median_12h,0.0022789323702454567,0.0008282649589729316,99.98749327560756,False
160,available_spaces_roll_trend_12h,0.0022004113998264074,0.0007997269605699145,99.98829300256813,False
161,available_spaces_roll_median_1h,0.002126353560015559,0.0007728110615053234,99.98906581362964,False
162,available_spaces_roll_mean_2h,0.002079123631119728,0.0007556456134955666,99.98982145924313,False
163,occupancy_rate_roll_trend_12h,0.0020606659818440676,0.000748937286245647,99.99057039652938,False
164,occupied_spaces_roll_min_1h,0.002041958272457123,0.0007421380760759365,99.99131253460546,False
165,occupied_spaces_roll_median_2h,0.0020323763601481915,0.0007386555847527804,99.99205119019021,False
166,available_spaces_roll_std_2h,0.0019404783379286528,0.0007052557732457977,99.99275644596345,False
167,occupied_spaces_roll_mean_12h,0.0018359781242907047,0.0006672757672168451,99.99342372173066,False
168,occupied_spaces_roll_trend_12h,0.0018255477771162987,0.0006634849170857583,99.99408720664775,False
169,is_thursday,0.0017592348158359528,0.0006393838499056368,99.99472659049765,False
170,occupancy_rate_roll_missing_3h,0.0017282775370404124,0.0006281326036702165,99.99535472310131,False
171,available_spaces_roll_median_3h,0.0016349065117537975,0.0005941974376082463,99.99594892053892,False
172,day_of_year_sin,0.0016267243772745132,0.0005912236875455951,99.99654014422647,False
173,calendar_day_of_week,0.001604839926585555,0.0005832699088864756,99.99712341413536,False
174,vacancy_ratio,0.0016025882214307785,0.0005824515395035178,99.99770586567486,False
175,occupied_spaces_roll_mean_6h,0.0014795996248722076,0.00053775203625685,99.99824361771111,False
176,is_moderate_demand,0.001464895554818213,0.0005324079259449257,99.99877602563706,False
177,available_spaces_roll_std_6h,0.0013049626722931862,0.000474281232887884,99.99925030686994,False
178,week_of_year,0.0008520782575942576,0.00030968297799553436,99.99955998984794,False
179,day_of_year_cos,0.0008453276823274791,0.0003072295199555401,99.9998672193679,False
180,is_high_demand,0.0003166116075590253,0.00011507068115276502,99.99998229004905,False
181,calendar_day_of_year,4.872810313827358e-05,1.7709950884722357e-05,99.99999999999993,False
182,occupancy_rate_roll_6h_available,0.0,0.0,99.99999999999993,False
183,occupancy_rate_roll_coverage_ratio_6h,0.0,0.0,99.99999999999993,False
184,has_capacity_violation,0.0,0.0,99.99999999999993,False
185,occupancy_rate_lag_12h,0.0,0.0,99.99999999999993,False
186,is_capacity_exceeded,0.0,0.0,99.99999999999993,False
